exchangeId,rank,baseSymbol,baseId,quoteSymbol,quoteId,priceQuote,priceUsd,volumeUsd24Hr,percentExchangeVolume,tradesCount24Hr,updated
bibox,48,LINK,chainlink,ETH,ethereum,0.0074496100000000,29.1511167101055958,1488409.1675432152389409,0.5497669040829114,,1733988336618
bibox,49,XEC,ecash,USDT,tether,0.0000461100000000,0.0000461150232122,1470512.8290425881461118,0.5431566151741501,,1733973924665
bibox,50,YFI,yearn-finance,USDT,tether,11743.7400000000000000,11745.0193601852310640,1399104.7365579530041235,0.5167809338172935,,1733988400925
bibox,51,ZEN,horizen,USDT,tether,16.1485000000000000,16.1502592136705346,1355580.2970274906975487,0.5007045101467094,,1733988851604
bibox,52,BSV,bitcoin-sv,USDT,tether,68.6300000000000000,68.6374765355425450,1323902.8674758565828324,0.4890039625058667,,1733988366943
bibox,53,OMG,omg,USDT,tether,0.5060000000000000,0.5060551235171868,1294316.2368147855120354,0.4780756837129928,,1733988330169
bibox,54,TKO,tokocrypto,USDT,tether,0.5579540000000000,0.5580147833733368,1284416.0966171160651871,0.4744189140926851,,1733983279012
bibox,55,AAVE,aave,ETH,ethereum,0.0904238800000000,353.8382652596019363,1281096.8803436609756005,0.4731929103200457,,1733988439797
bibox,56,BAT,basic-attention-token,USDT,tether,0.3053000000000000,0.3053332593078994,1183732.2753209138361256,0.4372297903407696,,1733988334076
bibox,57,ALGO,algorand,ETH,ethereum,0.0001187400000000,0.4646422561930005,1057817.8854596080376261,0.3907213665799834,,1733988325119
bibox,58,ETC,ethereum-classic,ETH,ethereum,0.0088677000000000,34.7002537918365380,1056318.4102056935543154,0.3901675122460611,,1733990524090
bibox,59,ZIL,zilliqa,USDT,tether,0.0281000000000000,0.0281030612071797,1038066.9589902566059017,0.3834260569738570,,1733940811060
bibox,60,KSM,kusama,USDT,tether,39.9821640000000000,39.9865196472419330,949648.3402418178126268,0.3507672751330733,,1733988353050
bibox,61,XEM,nem,USDT,tether,0.0314000000000000,0.0314034207083788,946744.8366280927061336,0.3496948212490744,,1733927896479
bibox,62,TRX,tron,USDT,tether,0.2939510000000000,0.2939830229505940,916390.2736072894832005,0.3384828947837988,,1733990574428
bibox,63,UMA,uma,USDT,tether,3.9047790000000000,3.9052043856765159,915311.9664282346333278,0.3380846053803158,,1733988375732
bibox,64,LRC,loopring,USDT,tether,0.2812510000000000,0.2812816394156765,910104.8582763081548958,0.3361612795971008,,1733988413412
bibox,65,JST,just,USDT,tether,0.0442110000000000,0.0442158163356094,893758.1712481772147311,0.3301233783832151,,1733944914285
bibox,66,AKRO,akropolis,USDT,tether,0.0048130000000000,0.0048135243270518,871471.4626102375574243,0.3218914384857324,,1733988405919
bibox,67,BAT,basic-attention-token,ETH,ethereum,0.0000774200000000,0.3029526989595932,839756.6736810780795566,0.3101770915820469,,1733988332829
bibox,68,TRX,tron,ETH,ethereum,0.0000751600000000,0.2941090784526353,803988.2916932931947554,0.2969654875028154,,1733990573148
bibox,69,BCH,bitcoin-cash,BTC,bitcoin,0.0055473800000000,557.8035247932968261,795579.3815729276128170,0.2938595267331599,,1733990530370
bibox,70,AAVE,aave,BTC,bitcoin,0.0035179900000000,353.7430682930627254,773161.4379078925487853,0.2855791131524140,,1733988441068
bibox,71,MXC,mxc,USDT,tether,0.0071370000000000,0.0071377775030478,766951.8118967946921657,0.2832854919210500,,1733988310019
bibox,72,XCH,xch,USDT,tether,27.5100000000000000,27.5129969327229406,722755.8011519165389790,0.2669610130547095,,1733978413213
bibox,73,BAT,basic-attention-token,BTC,bitcoin,0.0000030400000000,0.3056799273479773,704108.9253970049985079,0.2600735016242890,,1733988331476
bibox,74,ONG,ontology-gas,ETH,ethereum,0.0001039300000000,0.4066891501274932,703759.1594674806105623,0.2599443101785351,,1733989958343
bibox,75,ONG,ontology-gas,USDT,tether,0.4051750000000000,0.4052191396661584,700668.8921087697067927,0.2588028722220683,,1733989959594
bibox,76,DOGE,dogecoin,ETH,ethereum,0.0001060900000000,0.4151414599925503,690664.5521166197786852,0.2551076147990335,,1733988312538
bibox,77,COMP,compound,ETH,ethereum,0.0281128900000000,110.0087303158635825,645957.8433496524209175,0.2385945017340817,,1733988365695
bibox,78,SNX,synthetix-network-token,USDT,tether,3.2816000000000000,3.2819574967075101,585093.4873613653342676,0.2161133122262851,,1733988395860
bibox,79,NXM,nxm,USDT,tether,76.8905340000000000,76.8989104361115586,553266.3365199587305341,0.2043574627156686,,1733988389558
bibox,80,ETC,ethereum-classic,BTC,bitcoin,0.0003442100000000,34.6112130896208121,546201.3154780522971560,0.2017478881240926,,1733990522799
bibox,81,MKR,maker,ETH,ethereum,0.5180056000000000,2027.0110384420493431,540088.7804476264350603,0.1994901289453297,,1733990564342
bibox,82,KSM,kusama,BTC,bitcoin,0.0003959900000000,39.8178271153044519,532216.1585244454928435,0.1965822545005180,,1733988354339
bibox,83,MBOX,mobox,USDT,tether,0.2903360000000000,0.2903676291333714,449984.7827791300842570,0.1662088263815541,,1733987630192
bibox,84,OMG,omg,BTC,bitcoin,0.0000050000000000,0.5027630384012785,442368.3539549822260557,0.1633955808129776,,1733988328891
bibox,85,ONT,ontology,USDT,tether,0.2984000000000000,0.2984325076235742,442192.9311384749570541,0.1633307856875244,,1733990270833
bibox,86,ONG,ontology-gas,BTC,bitcoin,0.0000040400000000,0.4062325350282330,441911.4344858099874729,0.1632268105531191,,1733990275864
bibox,87,BSV,bitcoin-sv,BTC,bitcoin,0.0006805600000000,68.4320826828748144,424768.0309447996971150,0.1568946297954972,,1733988368196
bibox,88,QTUM,qtum,BTC,bitcoin,0.0000428600000000,4.3096847651757590,424551.5369089893323508,0.1568146643811371,,1733990249302
bibox,89,LTC,litecoin,BTC,bitcoin,0.0012118500000000,121.8546776173178615,420452.9971514317078127,0.1553008054484537,,1733990541662
bibox,90,UQC,uquid-coin,ETH,ethereum,0.0021000000000000,8.2175234799166334,376979.4903421419379010,0.1392431945647337,,1733988404671
bibox,91,XRP,xrp,USDC,usd-coin,2.4360700000000000,2.4348588726430990,369989.2721755468307651,0.1366612495699602,,1733988307518
bibox,92,KSM,kusama,ETH,ethereum,0.0101982400000000,39.9067984065833367,347218.5454756611594902,0.1282505301290302,,1733988355603
bibox,93,QTUM,qtum,ETH,ethereum,0.0010981700000000,4.2972560761619282,344651.6108043175374824,0.1273023931798490,,1733990250562
bibox,94,PHA,phala-network,BTC,bitcoin,0.0000017800000000,0.1789836416708551,343680.9950991397629468,0.1269438812847828,,1733988415913
bibox,95,ONT,ontology,BTC,bitcoin,0.0000029800000000,0.2996467708871620,301897.5799521278427388,0.1115105318481489,,1733990269577
